nama_listing,daerah,l_tanah,l_bangunan,k_tidur,k_mandi,listrik,lantai,jarak_rs,jarak_pusatbelanja,jarak_kampus,jarak_tol,stasiun,harga_rumah
Rumah Hook Murah Siap Huni baru renovasi Depok dikomplek harga murah Jual Cepat,Cipayung,150,200,5,4,2200,2,4.5,3.3,8.9,3.7,4.3,1800000000
"Rumah 2 Lantai Sudah Renovasi Unfurnished SHM di Jl Pitara Raya Kelurahan Cipayung Depok, Depok",Cipayung,72,89,4,3,2200,2,1.6,2.3,5.9,4.5,3.4,1350000000
Rumah Nyaman Lingkungan Aman Mutiara Depok,Sukmajaya,105,100,3,2,2200,2,1.8,5.5,6.9,6.2,4.8,1300000000
Rumah SHM Terawat 13 Menit ke Primaya Hospital Depok Siap KPR J41215,Sukmajaya,95,54,2,1,2200,1,1.8,6.5,7.5,7.1,4.7,1050000000
Rumah Luas SHM 15 Menit ke Gerbang Tol Margonda 3 Bebas Banjir J43732,Sukmajaya,178,300,6,3,2200,2,0.18,4.8,7.2,5.5,4.1,2880000000
Rumah LB 280 Hadap Selatan 7 Menit ke Mall Pesona Square J-43415,Sukmajaya,149,280,3,2,3500,2,1.1,3.3,1.2,2.4,5.7,1990000000
Rumah Hunian Keluarga Lokasi Strategis Dekat Sman Depok,Sukmajaya,72,45,2,1,1300,1,2.5,5.8,7.7,7.5,3.9,550000000
Rumah Hoek Ex Salon Dijual di Griya Asri Depo,Sukmajaya,252,300,5,6,5500,2,1.2,4.7,7,4,3.7,5500000000
"Rumah Mewah, Dibawah Harga Pasar, SHM, Mekarjaya, Sukmajya, Depok",Sukmajaya,337,181,3,4,2200,1,3.4,1.9,3.3,3.7,3.7,2700000000
"Rumah Mewah 2 Lantai Siap Huni di Tole Iskandad, Depok",Sukmajaya,120,250,6,3,3500,2,0.9,4.5,5.5,5.2,4.4,1900000000
Rumah LB 280 Hadap Selatan 7 Menit ke Mall Pesona Square J-43415,Sukmajaya,149,280,3,2,3500,2,1.2,3.2,1.3,2.5,5.5,1990000000
Rumah Terawat 1 LT 10 Menit ke Mall Pesona Square Dibantu KPR J41753,Sukmajaya,84,46,2,1,1300,1,2.7,4.2,3.7,3.9,5,1330000000
Rumah Asri Terawat 9 Menit ke Gerbang Tol Margonda 3 bisa KPR J42492,Sukmajaya,90,120,3,2,2200,2,4.2,1.8,3,1.5,2.4,2160000000
"Rumah Bagus Dalam Komplek Di Sukmajaya, Depok",Sukmajaya,200,150,4,3,3500,1,1.9,5.8,7.5,3.6,6,3800000000
"Dijual Rumah Di Pesona Khayangan Depok, Strategis",Sukmajaya,144,250,5,4,2200,2,2.3,2.5,2.3,2.2,2.3,2900000000
Rumah Bagus Dalam Cluster Free All Biaya di Juanda Kota Depok,Sukmajaya,65,100,3,3,2200,2,2.6,1,2.3,1.5,3.1,1300000000
"Rumah Strategis Depok! Dekat Stasiun & Alun-Alun Kota, Lokasi Tirtajaya",Sukmajaya,380,600,4,3,2200,2,1.9,4.2,6.4,5.9,2.1,2150000000
Cluster Bolero .di Gdc Depok.jawa Barat,Sukmajaya,100,140,3,3,2200,2,1,6.2,8.1,8.2,4.3,1420000000
Turun Harga Rumah Siap Huni 2 Lantai di Gema Pesona Dekat Stasiun,Sukmajaya,144,250,6,5,2200,2,0.65,3.6,3.1,5.7,4.5,2200000000
Rumah Cantik Bella Casa dekat kampus UI Depok,Sukmajaya,176,185,4,3,3300,2,1.5,3,5.9,5.9,3.4,3750000000
Rumah Bagus Siap Huni Di Expander Residence,Sukmajaya,83,120,3,2,2200,2,0.7,4.6,6.5,6,4.6,950000000
"Dijual Rumah Cantik Griya Asri Depok, Sukmajaya",Sukmajaya,90,90,3,2,1300,2,1.2,4.7,7,5.1,3.6,1300000000
Rumah di Jln kemang raya Depok SHM Bagus Timur,Sukmajaya,60,42,2,1,1300,1,2.1,6.1,7.8,7,4.5,650000000
"Rumah 2 Lantai Unfurnished SHM di Jl Raya Taman Merdeka, Depok",Sukmajaya,75,65,3,2,2200,2,1.7,2.4,4.1,3.6,3.7,900000000
RUMAH CANTIK 2 LT DI CLUSTER ANGGREK SUKAMAJAYA GRAND DEPOK CITY,Sukmajaya,120,150,4,3,2200,2,2.4,4.3,7.2,7.2,2.9,1500000000
RUMAH SIAP HUNI DI PERUM PONDOK SUKMA JAYA DEPOK,Sukmajaya,66,64,2,1,1300,1,0.85,4.6,5.8,6.1,4.6,980000000
RUMAH DI ABADIJAYA DEPOK,Sukmajaya,202,97,4,2,2200,1,2,3.9,4.4,4.3,4.9,3400000000
RUMAH PONDOK SUKMAJAYA DEPOK FULL FURNISH SIAP HUNI BEBAS BANJIR,Sukmajaya,129,90,2,2,1300,1,1.3,4.7,6.7,6,4.6,1200000000
RUMAH 2 LANTAI SIAP HUNI AREA KOMPLEK PELNI,Sukmajaya,165,70,5,4,2200,2,1.7,2.8,1.8,3.2,5.1,3500000000
HUNIAN ASRI SIAP HUNI AREA SUKMAJAYA DEPOK,Sukmajaya,139,70,3,3,2200,1,1.6,4.2,4.6,4.5,5.4,1400000000
Dijual rumah di Komplek Pesona Khayangan Mungil Sukmajaya Depok,Sukmajaya,90,70,2,1,1300,1,4.2,1.8,3,2,2.7,2500000000
Rumah Strategis 10 Menit ke Gerbang Tol Margonda 3 Dibantu KPR J34984,Sukmajaya,126,210,4,3,3500,2,0.65,3.6,5.5,6.1,4.5,2050000000
Rumah Siap Huni 16 Menit ke Primaya Hospital Depok Dibantu KPR J39719,Sukmajaya,94,65,2,1,2200,1,2.4,6.4,8.1,7.6,4.4,940000000
Rumah Cantik Griya Depok Asri Sukmajaya Luas 120 Semi Furnished,Sukmajaya,120,250,5,3,2200,2,1.2,4.7,7,5.5,3.1,1750000000
Rumah Strategis Dekat Tol di Jl Pondok Duta 2 Sukmajaya Depok,Sukmajaya,237,220,5,3,2200,1,2.1,1.3,1.7,2.7,4,1850000000
Rumah 3 lantai siap huni di villa Pertiwi Depok,Sukmajaya,115,180,4,5,3500,3,1.6,7,5.2,6.3,6.4,2600000000
For Sale Rumah Di Grand Depok City - Scandinavian Semi Furnished,Sukmajaya,67,74,3,2,2200,2,1.6,4.5,7.4,4.8,1.2,980000000
"Rumah Mewah 2 Lantai Di Hook - Kawasan Elite Pesona Kayangan, Depok Dijual Cepat & Bisa Nego!",Sukmajaya,400,385,7,6,7000,2,4.2,1.8,3,1.1,1.5,8000000000
Dijual Rumah 2 Lantai di Griya Depok Asri Siap Huni Strategis,Sukmajaya,120,220,4,4,3500,2,1.2,4.7,7,6,4.5,2500000000
"Rumah Mewah Di Pesona Khayangan Juanda, Sukmajaya. Dkt Tol Cijago",Sukmajaya,172,250,4,4,3500,2,4.2,1.8,3,1.5,2.3,2450000000
Rumah SHM Luas 2 LT Siap Huni 7 Menit ke Mall Pesona Square J-39890,Sukmajaya,102,170,4,2,2200,2,1.7,2.7,4.5,5.6,4.1,1330000000
Rumah Mewah 2 Lantai + Private Pool Pesona Khayangan Depok - SHM,Sukmajaya,240,262,6,4,3500,2,4.2,1.8,3,1.1,1.5,8000000000
Rumah 2 Lantai Siap Huni Di Komplek Pesona Depok,Pancoran Mas,180,260,5,5,4400,2,1.3,1,3.6,2.7,1.2,3500000000
Rumah Dijual Di Pancoran Mas Dekat Pintu Tol Dp 0% Free Biaya,Pancoran Mas,66,65,3,2,2200,2,1.7,1.1,5.6,2.5,4.3,1100000000
Turun Harga Rumah di Mampang Indah 2 Depok,Pancoran Mas,367,200,5,3,2200,2,2.5,1,5.8,1.6,5.4,2300000000
Rumah SHM LT 121 Siap KPR 8 Menit ke Rs Permata Depok J-39449,Pancoran Mas,121,121,3,2,2200,1,1.9,1.4,5.5,1.3,6.2,1770000000
Rumah SHM LT 120 Siap Huni 16 Menit ke Gerbang Tol Sawangan 1 J-37875,Pancoran Mas,120,110,2,1,2200,1,3.4,2.1,4.7,1.5,6.2,1050000000
Rumah Dekat Tol di Komplek Arco Pancoran Mas Depok,Pancoran Mas,426,180,3,3,1300,1,1.8,2.2,5.4,1.6,6.4,2750000000
"Rumah 2Lt, Hook, Hdp Timur, Semi Furnished, Mampang, Pancoran Mas",Pancoran Mas,147,120,4,4,2200,2,1.8,1.2,5.7,2.6,4.4,1700000000
Dijual Cepat Rumah 2 Lantai Siap Huni di Perumnas Depok 1 Dekat Sekolah Unggulan,Pancoran Mas,177,99,3,2,2200,2,0.95,2.4,4.8,3.8,2.8,1550000000
Rumah Mampang Depok Turun Harga Jual Cepat,Pancoran Mas,180,140,3,2,2200,1,2.6,1.3,5.3,2.8,5.3,1600000000
Rumah Asri Terawat 13 Menit ke Rs Permata Depok SHM Siap Huni J31771,Pancoran Mas,65,45,2,1,1300,1,3.6,2.3,4.9,1.4,6.5,640000000
RUMAH JL. KARTINI DEPOK,Pancoran Mas,359,330,6,3,3300,1,1.3,1.5,3.2,5.3,0.24,8000000000
Rumah Bagus Hook Komplek Arco Pancoran Mas Depok Dekat Akses Tol,Pancoran Mas,264,300,5,4,2200,2,1.6,2,5.2,1.6,6.5,2400000000
Rumah Seken Terawat di Depok 7 Menit ke Rs Anak Negeri Hadap Utara J35437,Pancoran Mas,119,100,2,1,2200,1,4.4,2.9,6.2,3,5.3,720000000
Rumah Modern Minimalis Dijual Cepat di Bella Casa Residence Depok,Pancoran Mas,165,70,3,2,1300,1,3.1,4.9,3.3,5.9,3.5,1500000000
Rumah Cluster Mampang Residence Depok,Pancoran Mas,96,120,3,2,2200,1,1.7,0.75,5.8,2.1,4.3,1000000000
Rumah Hook 4 Kamar 9 Menit ke RS Permata Depok Hadap Utara J26364,Pancoran Mas,115,154,4,2,2200,2,2.2,3.7,3.8,3.1,7.9,1440000000
Rumah Minimalis 15 Menit ke Gerbang Tol Kukusan 4 Dibantu KPR J30516,Pancoran Mas,150,130,3,2,1300,1,2.9,1.7,4.7,1.9,6.6,1220000000
Rumah SHM 15 Menit ke Gerbang Tol Kukusan 3 Dibantu KPR J-32602,Pancoran Mas,86,50,2,1,1300,1,1.5,0.6,6.1,2,5.3,890000000
Rumah LT 120 SHM 4 Menit ke RSIA Asyifa Depok Siap KPR J-32624,Cimanggis,120,100,4,2,2200,2,1.8,1.4,1.9,3.7,3.9,1110000000
"Jual Rumah Hook Murah Siap Huni Di Griya Pancoran Mas Indah, Pancoran Mas – Depok",Pancoran Mas,135,85,3,2,2200,1,4.4,2.9,7.4,3.2,5.5,900000000
Dijual Rumah di depok villa permata santi meruyung 218m2,Pancoran Mas,218,150,3,3,3500,1,2.2,3.7,3.8,3.1,7.9,1900000000
"Dijual Rumah Town House Permata Indah Di Pancoran Mas, Depok",Pancoran Mas,86,64,2,2,2200,1,0.3,1.4,5.4,2.7,4.1,850000000
Rumah Di Jantung Kota Depok Alam Permai,Pancoran Mas,158,130,3,3,2200,1,0.7,2.3,3.1,4,0.85,2000000000
Rumah Jalan Pemuda Dekat Kantor Pemda Depok,Pancoran Mas,123,170,4,3,2200,2,0.5,2.4,3.8,4.1,0.9,2000000000
Dijual Cepat Rumah Tiga Lantai Fully-furnished Puri Depok Mas.,Pancoran Mas,90,177,3,2,2200,2,0.8,1.5,5.9,2.5,3.6,1500000000
RUMAH DEPOK MAMPANG PANMAS MURAH,Pancoran Mas,105,116,3,2,2200,2,1.9,1.4,5.5,2.1,5,850000000
Rumah Murah Bebas Banjir di Pancoran Mas Depok Jawa Barat,Pancoran Mas,204,100,3,2,1300,1,1.6,2.3,5.9,3,4.1,650000000
Dijual Rumah Dekat Mall Cluster Priemiere Residence Depok,Pancoran Mas,105,186,3,3,2200,2,2.3,2.1,6.3,1.5,5.4,1700000000
Rumah Bagus Di Cluster Kay Spring Pancoran Mas Depok,Pancoran Mas,84,48,2,1,2200,1,1.9,1.8,5.5,1.2,7.1,800000000
RUMAH 2 LANTAI VIEW KUBAH EMAS DI PANCORAN MAS DEPOK,Pancoran Mas,115,154,4,2,2200,2,2.2,3.7,3.8,3.2,3.8,1900000000
Rumah Strategis 15 Menit ke Stasiun Depok Baru LT 198 bisa KPR J44099,Pancoran Mas,198,160,4,3,1300,2,3.5,1,5.8,1.6,6.3,2210000000
Dijual Perumahan Syariah Pancoran Mas New,Pancoran Mas,55,55,3,3,1300,2,1.5,2,5.5,2.6,5.3,790000000
"Mampang Hills Pancoran Mas Depok Type Vesca – Rumah Modern Harga Terjangkau, Full Furnished, Promo Terbatas!",Pancoran Mas,90,92,3,2,2200,2,2,0.8,5.3,2.2,4.7,1900000000
Rumah Second Murah Siap Huni Dlm Komplek Pelita Air Didepok,Pancoran Mas,110,54,2,1,2200,1,1.1,2.6,4.5,2.4,7.2,1100000000
"Rumah di Pancoran Mas, Perumahan Maharaja, Depok",Pancoran Mas,176,230,4,2,2200,2,3.2,4.8,7.1,2.3,5,2500000000
Rumah LT 101 Hadap Selatan 15 Menit ke Gerbang Tol Kukusan J-41479,Pancoran Mas,101,42,2,1,2200,1,1.2,0.75,5.6,2.1,5,890000000
Rumah Dalam Komplek Depok,Pancoran Mas,115,120,2,2,2200,2,2.5,1.3,4.9,0.75,6.4,1200000000
Rumah Strategis di Pusat Kota Depok Dekat Jalan Margonda Depok,Pancoran Mas,232,95,2,2,1300,1,1.5,1.5,4.5,3.9,1.7,1530000000
Rumah Strategis Siap Huni di Jl Piranha Iii Pancoran Mas Depok,Pancoran Mas,120,180,6,4,3300,2,2.7,1.5,4.7,2.8,4.6,1500000000
TURUN HARGA RUMAH 2 LANTAI TERAWAT PURI ANGGREK MAS SAWANGAN DEKAT TOL,Pancoran Mas,185,230,4,4,2200,2,1.1,2.3,4.7,1.7,7.6,2100000000
"Rumah Tumbuh (Siap +Ruangan), Konsep Hijau, Sejuk, Terang Benderang-Banyak Jendela",Cimanggis,300,255,6,4,4400,2,1.3,1.8,9.5,1.9,3.1,2990000000
Dijual Rumah di Tipar Radar Auri Cimanggis Depok,Cimanggis,79,39,2,1,2200,1,3.4,2.5,1.7,2.8,2.8,970000000
Rumah Mewah Murah Dalam Komplek di Pondok Duta Cimanggis Depok,Cimanggis,237,220,5,3,2200,1,1.1,2.7,2.2,3.2,4.4,1800000000
Green Lovina Cibubur - Hunian Modern Radar Auri Cimanggis,Cimanggis,84,90,3,2,2200,2,3.2,2.4,2.4,1.6,2.7,1100000000
"Rumah 2 Lantai di Perumahan Mekarsari Permai Cimanggis, Depok",Cimanggis,153,200,4,3,2200,2,1.3,1.7,1.8,3.8,5.2,1600000000
Di Jual Murah Rumah Di Permata Puri 1 Cimaggis Depok,Cimanggis,278,193,4,2,3500,1,2.3,2.8,2,2.9,3,2200000000
Runah Baru Siap Huni Duta Park Residence Cimanggis Depok,Cimanggis,75,150,4,3,2200,2,1.1,1.7,1.4,2.5,5.1,1700000000
Dijual Cepat Rumah 1Lantai Dalam Perumahan Pondok Cibubur,Cimanggis,180,100,3,2,2200,1,2.9,3.5,2.3,2.4,2.9,1800000000
Dijual Rumah Minimalis Bagus One Gate System di Cimanggis Depok,Cimanggis,105,70,3,2,2200,1,2.1,2.7,1.6,2.5,3.5,1050000000
"Rumah 2 Lantai Bagus SHM di Komplek Manado Hein Siwu, Depok",Cimanggis,220,350,6,5,2200,2,2.8,4.1,3.1,3.7,2.5,1900000000
"Rumah Mewah, Asri, Luas & Strategis, Raffles Hills Cibubur - SHM",Cimanggis,208,180,4,4,4400,2,1.3,1.8,9.5,1.9,3.1,2500000000
Di Jual Rumah 2 Lantai SHM di Karanggan Cimanggis Depok,Cimanggis,241,150,4,4,3500,2,2.6,2.1,3.6,3.1,4.2,2000000000
Dijual Rumah 2 Lantai di Cibubur Garden Cimanggis Depok,Cimanggis,145,120,3,2,2200,2,1.4,1.8,4.5,2.5,1.2,2500000000
Rumah Mewah Murah Dalam Komplek di Pondok Duta Cimanggis Depok,Cimanggis,237,220,5,3,2200,1,0.95,2.1,1.6,2.1,4.4,1800000000
"Rumah Siap Huni,Pinggir Jalan Utama,10 Menit ke LRT Harjamukti",Cimanggis,50,80,3,2,2200,2,3.3,2.5,2.5,1.7,2.8,932000000
Rumah Megah Bukit Cengkeh Cimanggis,Cimanggis,107,100,4,3,2200,2,1.5,0.6,1.7,3.1,5.2,1500000000
"Rumah 2 Lantai SHM di Cluster Hazama Residence, Pasir Gunung Selatan, Cimanggis, Depok.",Cimanggis,86,100,3,2,2200,2,2.1,3.3,1.7,5.7,3.5,1150000000
"Rumah Mahogani Residence Cibubur,Dekat Tol Cibub Delat LRT Harjamukti,Dekat Transjakarta,Dekat Mall Transmart Cibubur",Cimanggis,130,180,4,4,3500,2,0.7,0.1,1,1.8,2.3,2500000000
Rumah Siap Huni Dalam Komplek Bagus Di Radar Auri Cimanggis Depok,Cimanggis,248,180,4,3,3500,1,3.3,2.5,2.5,1.7,2.8,2400000000
"Dijual Murah Rumah Luas,siap Huni 1 Lt Di Perumahan Permata Cimanggis, Tapos",Tapos,185,50,2,1,2200,1,0.4,6.4,8.7,4,3.6,1490000000
"Dijual, Rumah 2 1/2 LT, 10X9, Tapos, Depok, bisa Bisnis Kost",Tapos,90,170,4,2,2200,3,1.7,7.4,5.8,5.7,5.2,1200000000
Rumah Mewah Dekat Toll Cijago,Tapos,43,72,3,2,2200,2,3.7,4.3,5.1,3.1,3.8,750000000
"Rumah 2 Lantai Siap Huni, Dekat Akses Tol di Leuwinanggung, Tapos Depok - Cibubur",Tapos,800,375,5,3,10500,2,4.8,3.8,8.4,3.7,7.2,6000000000
Murah Luas 105 Rumah Cimanggis Depok Dekat Tol,Tapos,105,80,2,2,4400,2,0.4,6.4,8.7,4,3.6,945000000
Rumah 1 Lantai LT 144 di Permata Cimanggis,Tapos,144,125,2,2,2200,1,0.4,6.4,8.7,4,3.6,1300000000
Di Jual Rumah Hunian Exclusive Terjangkau Taman Arcadia Depok,Tapos,231,280,5,4,3500,2,4.2,7.5,7.4,0.95,7.7,3500000000
RUMAH CLUSTER SIAP HUNI DI PERUMAHAN PERMATA CIMANGGIS CLUSTER TOPAZ CILANGKAP - TAPOS KOTA DEPOK,Tapos,66,66,2,1,1300,1,0.85,6.9,6,4.8,4.9,565000000
"Jual Rumah Di Perum Tni Ad, Jl. Kelapa, Tapos Depok",Tapos,251,240,6,2,2200,1,1.3,5.8,3.6,4.1,8.1,2500000000
Rumah Luas Harapan Baru Taman Bunga Cimanggis Dekat LRT,Tapos,200,80,3,2,2200,1,4.4,4.2,4.6,2.9,4.5,1250000000
Rumah Siap Huni 2 Lantai di Cluster Oma Cimanggis Regency Depok,Tapos,58,68,3,2,2200,2,4.2,5.6,4.9,4.6,4.7,750000000
"Di Jual Cepat Rumah 1Lt. di Citra Gran Cluster, Tapos Depok",Tapos,136,100,2,2,4400,1,4.2,2.7,4.8,3.1,6.5,2500000000
"Rumah, 2 Lantai, SHM, di Tapos",Tapos,90,120,4,2,3500,2,4.8,3.2,7.8,3.7,7.2,1370000000
Rumah Siap Huni Di Cibubur,Tapos,120,100,3,2,2200,2,4.7,1.9,4,2.2,6.3,1400000000
Rumah Di Jalan Swadaya 2 Shm Bagus,Tapos,83,160,5,4,2200,2,2.9,6.8,4.9,4.2,6.2,830000000
Jual Rumah 2 Lantai Posisi Hoek Di The Addres Cibubur,Tapos,161,176,4,2,2200,2,4.8,3.2,7.8,3.7,7.2,1400000000
Rumah 2 Lantai Siap Huni Dekat Toll Cimanggis Tapos Depok,Tapos,128,136,3,2,2200,2,0.85,5.6,4.6,4.9,3.5,1500000000
"Dijual Rumah di Banjaran Residence, Cilangkap, Tapos, Depok",Tapos,72,90,3,2,1300,1,2.2,7.1,7.5,4.8,4.9,700000000
Rumah mewah murah di komplek Jatijajar estate,Tapos,150,180,3,2,2200,2,1.7,6.6,4,4.3,6.8,1650000000
HUNIAN MEWAH BANJARAN RESIDENCE TAPOS,Tapos,104,300,3,3,2200,2,2.2,7.1,7.5,4.8,4.9,2000000000
Rumah Tingkat Hook De Bale Permata Arcadia Cimanggis,Tapos,139,100,3,2,2200,2,4.2,7.5,7.4,0.95,5.5,1300000000
"Rumah 3 Lantai Bagus Sertifikat Hak Milik di Cilodong, Depok",Cilodong,84,200,2,2,2200,3,0.5,5.1,2.6,7.4,3.8,1000000000
"Rmh Asri Villa Pertiwi Lt.211m² Baru Renov, Dkt Tol Cijago, Depok",Cilodong,211,187,4,3,3500,1,1.8,8.1,5,5.9,6.7,1700000000
Rumah LT 96 Baru Renov 9 Menit ke Stasiun Depok Bebas Banjir J31471,Cilodong,96,50,2,1,1300,1,0.5,5.1,7.9,7.4,3.8,820000000
Rumah di Griya Cilodong Asri Depok Hook Murah,Cilodong,177,72,3,2,3300,1,2.7,8.1,5.1,7.5,5.1,1050000000
Rumah Kali Mulya Cilodong Siap Huni 2 Lantai Dekat Gdc N Stasiun,Cilodong,51,60,3,2,2200,1,1.8,6.3,3.9,8.6,3.2,665000000
Rumah Baru 2 Lantai Bebas Banjir Harga Ekonomis di Cilodong Depok,Cilodong,56,57,3,2,2200,2,3.6,4.6,4.8,7.6,3.1,699000000
Rumah SHM Luas 2 Lt Siap KPR 7 Menit ke Rs Citra Medika Depok J-39190,Cilodong,100,180,3,3,2200,2,1.2,6.1,2.5,8.8,4.7,1110000000
Rumah Dijual Komplek Pondok Damai Depok Timur,Cilodong,245,110,3,1,1300,1,1.1,5.6,3.9,4.1,6.4,1500000000
Rumah 2 Lt SHM 10 Menit ke Stasiun Depok Dibantu KPR J-40449,Cilodong,105,138,3,3,2200,2,1.3,6.1,2.6,8.8,4.7,1710000000
Rumah di Jual Murah. Dua Lantai Perum Anyelir Cilodong Depok,Cilodong,113,180,3,3,2200,2,1.2,5.7,3.3,8.1,3.8,850000000
"Rumah Murah 2 Lantai di Jl M Nasir, Cilodong. Dkt ke Jl Raya Bogor",Cilodong,288,300,4,3,2200,2,2.8,7.2,4.9,8.4,5.1,1400000000
Jual Cepat Rumah dalam Komplek di Villa Pertiwi Cilodong,Cilodong,95,95,2,1,1300,1,1.9,8.2,5.1,5.9,6.7,850000000
Rumah Bagus Dalam Komplek di Sukamaju Cilodong,Cilodong,88,130,4,2,2200,2,1.1,6.1,3.4,6.8,6.2,800000000
Di Jual Rumah di Dalam Claster di Cilodong Depok,Cilodong,120,76,3,1,3500,1,2.9,6.8,2.6,8.9,5.3,500000000
"Luas Tanah 192 3 Lantai SHM Puri Insani Gdc Jatimulya Cilodong, Depok",Cilodong,192,252,6,5,2200,3,1.8,6.6,2.8,9.2,4.3,2500000000
Rumah 2 Lantai Terawat Siap Huni Di Graha Prima Depok,Cilodong,128,150,5,4,2200,2,1.1,6.7,4.2,5.3,5.9,1600000000
Rumah di Perumahan Cikambang Asri Depok SHM,Cilodong,88,45,2,1,1300,1,0.75,4.9,2.3,7.4,3.8,550000000
"Jual BU , Perum Anyelir 3, Kalimulya Depok",Cilodong,72,30,2,1,1300,1,1.2,5.7,3.4,8.1,4.5,550000000
"Jual Rumah 1 Lantai Taman Manggis Permai, Jl. Tole Iskandar Depok",Cilodong,226,105,3,2,2200,1,1.1,5.7,4.3,5.5,5.6,1900000000
Di Jual Rumah Di Jl H Daing Kalimulya Depok Dkt Ke Rs Citra Medika Dan Ke Gdc,Cilodong,119,75,3,2,2200,1,1.1,5.4,3.1,7.9,4.1,960000000
Perumahan Vila Pertiwi,Cilodong,144,100,3,2,2200,1,1.8,8.1,5,5.9,6.7,1400000000
Rumah 9 menit ke RSU Brawijaya Sawangan Dibantu KPR J-36046,Bojong Sari,144,81,2,2,2200,2,1.8,3.1,2.5,8.2,14,1880000000
Rumah 2 Lantai di Depok 600Jt-An Aja Nempel Jaksel,Bojong Sari,60,40,2,1,2200,1,3.9,6,4.7,8,8,698000000
Rumah Murah Siap Huni,Bojong Sari,139,100,3,2,2200,2,1.9,2.3,2.1,5.5,12,800000000
Rumah dijual di Perum reni jaya pondok petir SHM Sudah Renovasi,Bojong Sari,260,240,3,2,3500,1,3.1,3.1,3.2,6.3,9.2,1200000000
Dijual Rumah Siap Huni Dalam Cluster D'citrus Garden Pondok Petir Depok,Bojong Sari,100,100,3,2,2200,1,2.9,3.2,3.2,7.4,9.1,1000000000
"Dijual Rumah Dibawah Pasaran di Grand Amity At Gardens Candi Sawangan 2Lt, 200M, SHM - 1,8M All In!",Bojong Sari,200,140,4,3,2200,2,1.8,2.3,2.2,5.4,12,1800000000
"Rumah SHM di Reni Jaya Bojong Sari, Depok",Bojong Sari,189,120,4,2,2200,1,3.2,3.2,3.3,6.4,9.3,950000000
"Rumah cluster modern 2 lantai murah di Bojongsari, Depok",Bojong Sari,120,200,3,4,2200,2,4.3,3.4,4.5,7.1,13,1200000000
Dijual Rumah 2 Lantai Shm Bagus Hadap Barat,Bojong Sari,120,147,4,2,3500,2,2.1,2.3,2.2,5.4,12,1650000000
Rumah Dalam Komplek Di Serua - Cinangka,Bojong Sari,125,130,3,2,4400,2,3.8,1.7,3.2,3.7,10,2000000000
Rumah Bagus Siap Huni Di Bojong Sari Depok,Bojong Sari,112,110,4,3,2200,2,3.9,4.6,4.7,8.8,14,1150000000
Jual Cepat Rumah Asri Dan Nyaman Di Komplek Griya Serua,Bojong Sari,75,45,2,1,1300,1,2.9,1.1,2.3,5.7,12,600000000
Dijual Rumah di Sawangan Bojongsari,Bojong Sari,108,42,2,1,1300,1,1.1,1.9,1.1,6.9,13,850000000
Dijual Rumah 1 Lantai Dalam Komplek di G R E E N One Residence Bojongsari Depok,Bojong Sari,98,60,2,2,2200,1,3.6,1.5,2.9,5.2,12,800000000
Rumah Asri 15 Menit ke Terminal Sawangan LT 143 Bebas Banjir J33968,Bojong Sari,143,100,4,3,4400,2,1.8,3.9,2.4,9.7,14,2210000000
Amankan Aset Bojongsari - Harga Khilaf!,Bojong Sari,96,50,2,1,2200,1,1.9,2.3,2.1,5.5,12,1000000000
"1 unit Rumah Cluster dijual di Bojongsari ,Depok",Bojong Sari,168,68,2,2,2200,2,1.9,2.3,2.1,5.5,12,1600000000
Dijual Rumah di Cluster Bojongsari Depok,Bojong Sari,128,180,3,3,3300,2,1.9,2.3,2.1,5.5,12,2500000000
"Termurah Rumah Cantik Dan Asri Di Taman Sari Puri Bali , Bojongsari Depok . Harga Rumah Sdh Termasuk Pajak Pembeli. Dengan Taman Depan,samping Dan Belakang Yg Luas. Dekat Dengan Comercial Area The Park Mall, Hy Fresh Swalayan, Indo Grosir,rs Brawijaya,rs",Bojong Sari,210,80,3,2,2200,2,1.8,3.9,2.4,9.7,14,1900000000
RUMAH SIAP HUNI DI GREN EXOTICE,Bojong Sari,90,60,2,1,2200,1,3.7,2.9,3.1,6.6,15,900000000
Rumah Hoek 2 Lantai Siap Huni Di Pd. Petir,Bojong Sari,124,100,4,2,2200,2,4.4,3.5,4.6,7.2,14,1920000000
Aset Premium Beji - Selangkah ke Kampus Ui!,Beji,127,150,3,2,2200,2,2.8,2.6,4.1,3.4,4.1,1800000000
Rumah Depok Jl. KH. Usman Kukusan Beji Depok,Beji,100,145,5,4,2200,3,1.1,4.4,2.1,1.1,3.8,2400000000
Rumah Keluarga Impian di Titik Strategis Depok!,Beji,200,230,2,1,2200,1,2.1,1.5,1.1,2.1,1.8,1300000000
Rumah Minimalis 9 Menit ke Gerbang Tol Kukusan 3 Hadap Selatan J47909,Beji,84,90,2,1,1300,2,2.2,3.2,4.5,2.7,4.5,1050000000
"Rumah 2 Lantai SHM Luas u/ Kos2an di Jalan Urea III, Beji Timur, Depok.",Beji,254,380,6,7,4400,2,2.2,1.8,2.2,2.4,1.1,5500000000
Rumah Murah Akses Dekat Tol Di Jl Kepundang Beji Timur Depok,Beji,500,173,4,2,3300,1,1.7,1.9,0.35,1.6,2.2,3100000000
"Dijual Kontrakan 4 Pintu, Turun Harga, Beji, Margonda Raya, Depok",Beji,350,300,2,1,1300,1,2.2,3.2,2.9,2.7,2.8,3800000000
